t,pkt_rate,byte_rate,dport_entropy,label,mu_rolling_byte_rate,sigma_rolling_byte_rate,z_score_byte_rate,fire_byte_rate
4200.0,29215675.995314144,1053170798.004617,1.9526480766277108,0,840352764.1909292,496493641.29809964,0.4286420129314602,0
4260.0,52655525.92003703,1080962607.9773438,2.8244787676056324,0,844960629.254083,498337049.48803777,0.4735790344420816,0
4320.0,36414613.224866435,522861188.5594038,3.370708042998058,0,1018819002.6707798,386058611.0135889,-1.284669736569919,0
4380.0,38746509.75113793,717530672.2183304,2.985065931650674,0,834531059.0950234,357864591.1225086,-0.3269403840980736,0
4440.0,30486501.08288813,471025090.87926364,4.629605108805149,0,918438441.3983338,257274134.66324404,-1.7390529798291094,0
4500.0,31409170.984581187,1758265056.975055,2.4781150420954967,0,769110071.5277908,256942057.00939664,3.849720037895897,1
4560.0,25280038.801911056,2008525476.2511837,3.554958338916958,0,910128923.3218784,475058229.98936033,2.3121303528493877,0
4620.0,16761145.177518647,376135035.20660067,3.64609317493325,0,1095641496.9766464,653240824.5290643,-1.1014413593773074,0
4680.0,23623059.427053124,685667055.2474806,3.280435748892193,0,1066296266.3060858,681017536.9489121,-0.558912495504736,0
4740.0,2897863.7060795403,96265097.82454456,3.0274306341546176,0,1059923542.9119158,684392069.9181478,-1.408050279136962,0
4800.0,28795239.419919766,418357004.56946456,2.8816571495593624,0,984971544.300972,761013761.8121127,-0.7445522908577826,0
4860.0,16569119.892330727,175682629.52605227,2.8426606549054805,0,716989933.819854,672266047.1045926,-0.8051980411998764,0
4920.0,15421247.56729234,654742954.5605435,2.5148287474850064,0,350421364.4748277,206298400.67645115,1.4751524446522477,0
4980.0,45393355.96662297,959594138.5995984,2.7898725598990475,0,406142948.3456162,240508259.0651548,2.3011733252122943,0
5040.0,8672724.589570312,98295171.3915657,2.883817862984014,0,460928365.01603985,316982143.86563253,-1.144017732993165,0
5100.0,48860335.61802977,2369976292.548354,2.9704953019025133,0,461334379.72944415,316515752.55839455,6.030164051524675,1
5160.0,34423674.61428279,485322082.13881075,3.429138197775837,0,851658237.325222,822218272.192874,-0.4455461129675272,0
5220.0,27287071.08723986,699854243.061296,3.465700406595161,0,913586127.8477738,779525275.2507275,-0.2741821100255316,0
5280.0,40571888.55156833,2038847769.3218493,2.5831807009887866,0,922608385.5479244,776733261.5924916,1.437094867658124,0
5340.0,38022119.34557556,597090282.0396022,3.563376133422371,0,1138459111.6923747,897578691.1902832,-0.6031435850319272,0
5400.0,38584384.648315415,758259043.0024931,3.2747502766271657,0,1238218133.8219821,798701121.6882744,-0.6009245233122542,0
5460.0,37957087.82423031,383022595.3305784,4.250751790183534,0,915874683.91281,569135328.2744563,-0.9362484845173279,0
5520.0,11105252.577916536,199656161.9244665,4.650683021925448,0,895414786.5511634,585839206.2438649,-1.1876272827276029,0
